STPCode,0-<18,18-<65,65-<80,80+,Unknown
E54000005,575300,1843824,403579,516483,4913
E54000006,228937,813173,210475,268131,2311
E54000007,60588,183012,45123,50399,319
E54000008,39534,135736,31097,35824,283
E54000009,250603,842920,197407,256160,1566
E54000010,20540,64134,14520,17680,86
E54000012,187953,635697,166772,217962,2193
E54000013,136813,486074,150132,179143,1491
E54000014,210888,686107,167918,206657,1524
E54000015,230870,802697,166042,198847,1688
E54000016,99418,285503,51357,66324,394
E54000017,142449,430904,88671,119520,928
E54000020,149075,483878,104680,124548,1477
E54000021,199703,716650,138494,170407,1592
E54000022,176659,603385,194210,257825,2861
E54000023,162185,542367,145353,188051,2130
E54000024,258052,779862,149684,169567,1782
E54000025,196305,636468,131525,175136,1374
E54000026,275354,892986,220966,269659,2696
E54000027,343972,1622209,171126,176223,1447
E54000029,38217,121821,13681,13819,155
E54000033,198820,727636,178281,245612,3471
E54000035,9049,34204,9350,13664,155
E54000036,48270,170079,55293,69556,777
E54000037,160960,562525,181362,247720,3187
E54000040,205869,702183,171591,208896,1827
E54000041,149291,566877,171365,252116,3806
E54000042,127345,497398,116687,160498,1942
E54000043,106480,354651,95000,122055,1170
E54000044,6127,21837,5637,6886,67
E54000049,364426,1212578,339265,434112,3657
