STPCode,05/02/2020,06/02/2020,07/02/2020,08/02/2020,28/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020
E54000017,,,,,,,,,,,,,,,,,,,,11,,,8,8,12,17,9,24,23,31,33,36,44,31,35,39,43,33,25,38,25,32,27,27,12,22,16,26,19,25,19,20,19,14,18,14,16,13,7,9,9,8,8,11,11,16,7,,8,8,8,7,8,8,6,9,6,,8,,6,,,,,6,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000020,,,,,,,,,,,,,,,,,,,,,,,,9,7,9,6,9,9,16,18,15,8,20,26,15,30,28,36,25,22,34,19,18,22,14,20,14,13,18,15,21,11,15,11,11,6,7,,10,6,8,,,,11,7,,,7,9,7,8,9,12,20,10,10,13,14,6,13,7,6,7,10,9,6,,8,8,9,,,10,6,10,8,6,,,,,,7,,7,10,,,7,,,,,,,,,,,,,,,,
E54000021,,,,,,,,,,,,,,,,,,,,,,6,,10,6,11,9,11,15,9,11,17,15,19,25,22,20,25,23,15,23,19,32,26,18,22,24,26,16,13,18,20,15,11,20,20,14,19,14,12,11,20,23,17,21,18,17,11,17,12,9,12,17,,16,9,18,13,16,9,10,9,9,9,,8,6,7,9,8,,,,7,,7,7,,,,,,,,,,7,,,,,,,,,,,6,,,,,,,,,
E54000022,,,,,,,,,,,,,,,,,,,,,,,6,6,,7,6,10,8,15,22,14,23,18,15,19,14,26,18,16,18,15,13,12,25,17,25,20,21,18,15,13,12,16,23,14,11,21,17,21,12,9,12,11,11,9,10,14,17,11,10,11,,12,8,9,8,8,8,7,8,6,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000023,,,,,,,,,,,,,,,,,,,,,,,,,9,6,6,8,6,10,9,10,19,15,14,15,13,24,24,20,29,22,15,16,13,25,14,24,13,26,17,20,12,15,14,26,23,15,14,17,12,9,17,10,13,18,17,6,11,20,9,,7,,8,7,,,9,8,11,,6,7,,,6,,6,,,,,6,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000024,,,,,,,,,,,,,,,,,,,,,6,7,6,,13,17,16,14,21,22,25,27,33,21,39,36,37,40,34,32,35,35,30,31,21,16,28,28,23,22,16,17,19,13,15,18,12,16,15,16,16,11,17,,14,12,17,10,12,9,6,9,,6,8,11,11,14,7,13,10,14,9,14,15,6,13,15,7,10,8,11,8,10,11,7,,7,6,7,9,9,6,9,8,6,6,6,8,7,9,9,7,10,7,8,,7,,,,,,,6,,
E54000025,,,,,,,,,,,,,,,,,,,,,6,12,7,8,19,,11,17,14,18,20,17,35,29,38,35,44,38,38,23,26,40,26,32,21,32,26,26,28,17,23,15,15,15,20,14,18,15,17,14,12,16,9,12,14,,8,9,11,12,7,8,7,9,14,6,7,9,,7,,,,7,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000026,,,,,,,,,,,,,,,,,,,,,6,7,9,8,13,16,25,19,23,39,40,40,50,42,52,53,73,60,45,65,48,61,62,50,36,44,45,46,23,26,23,17,34,24,23,24,19,24,27,33,23,25,20,17,13,21,25,11,12,19,12,12,14,19,10,14,10,14,8,14,9,8,12,10,16,11,7,15,,7,8,,8,7,7,,,,,6,,,,,,8,,11,12,11,8,8,,6,6,,,,,7,,,,,6,,
E54000027,,,,,,,,,,,,,,,,10,,9,,11,10,17,15,13,14,21,18,23,26,25,26,26,31,35,30,27,29,27,24,32,25,20,28,23,20,24,20,20,11,16,9,16,16,12,10,12,8,6,10,8,9,9,9,6,,11,,,,,7,,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000033,,,,,,,,,,,,,,,,,,,,,,7,7,,,8,8,,8,7,9,8,6,12,11,10,8,,7,,,,,,,,,7,,8,7,8,,8,,7,8,,8,6,7,,,6,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000037,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,6,7,7,11,13,11,9,,12,18,7,13,8,,8,,6,,6,7,10,10,9,7,,13,,,6,10,,,8,8,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,9,,10,8,8,13,11,13,,15,20,18,18,13,23,11,17,23,6,,10,10,6,13,6,7,11,9,,,,,,,,6,7,,8,,10,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000041,,,,,,,,,,,,,,,,,,,,,,,,,,8,,6,,7,12,13,14,11,18,11,15,16,7,13,19,17,13,14,10,11,15,8,6,11,10,6,8,12,6,7,,7,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000042,,,,,,,,,,,,,,,,,,,,,,,,,7,8,10,,,6,11,7,13,11,11,8,15,12,18,6,25,14,19,20,14,9,14,9,9,9,10,18,12,12,9,6,9,15,14,7,,12,10,11,,8,,9,6,12,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000043,,,,,,,,,,,,,,,,,,,,,,,,,,8,,9,10,15,12,13,13,15,18,17,11,21,20,18,14,29,17,10,14,19,15,12,18,11,13,14,7,12,7,,9,,7,,,8,7,9,,10,16,,,,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000049,,,,,,,,,,,,,,,,,,,,,,,7,,8,10,8,16,17,21,35,37,32,40,37,57,42,38,55,56,49,60,45,36,35,44,51,45,30,31,30,35,34,41,35,38,29,35,23,28,22,22,26,16,28,25,20,22,21,18,12,16,15,18,19,18,18,9,10,14,11,11,13,15,9,6,12,15,8,11,7,7,13,,12,6,,10,7,9,,10,,,,,,6,,,,,,,,,,,,,,,,,,,
