agegroup	male	ethnicity	var	pc_all1	pc_all2	pc_all3	pc_all4	pc_all5	pc_all6	pc_all7	pc_all8	pc_all9	pc_all10	pc_demog_all1	pc_demog_all2	pc_demog_all3	pc_demog_all4	pc_demog_all5	pc_demog_all6	pc_demog_all7	pc_demog_all8	pc_demog_all9	pc_demog_all10	pc_demog_small1	pc_demog_small2	pc_demog_small3	pc_demog_small4	pc_demog_small5	pc_demog_small6	pc_demog_small7	pc_demog_small8	pc_demog_small9	pc_demog_small10
1	0	1	"N"	.17555	.1127	.07245	.2158	.0833	.007	.0612	.1484	.0317	.0919	.54285	.1064	.0545	.0463	.0045	.14885	.0094	.0437	.04075	.00275	.69615	.0361	.0051	.17355	.00415	.04435	.00285	.0179	.00965	.0102
1	0	1	"asthmacat_2"	0	.1805679	.1932367	.1802595	.2226891	0	1	.1819407	.0031546	.1213275	0	.237782	.2614679	0	0	1	0	0	.0687117	.0181818	0	.2077562	0	1	0	0	0	0	0	1
1	0	1	"asthmacat_3"	.0074053	.0133097	.0303658	.0176089	.0204082	.1357143	0	.0215633	.0299685	.0152339	0	.0286654	.0284404	.2062635	.0444444	0	.0106383	.0251716	.0343558	.0181818	0	.0304709	0	0	.060241	.0270575	.0175439	.8044693	0	0
1	0	1	"cancer_exhaem_cat_2"	.0002848	.0004437	.0006901	.0006951	.002401	0	.001634	.0003369	.0031546	.0005441	0	.0009398	0	0	0	.0013436	.0478723	.0011442	0	0	.0007901	.001385	0	.0008643	0	.0011274	0	0	0	0
1	0	1	"cancer_exhaem_cat_3"	.0017089	.0017746	.0027605	.0011585	.0012005	0	0	.0037062	.0031546	.0027203	0	.0023496	.0009174	.0032397	.0222222	.0016795	.1010638	.0011442	.003681	0	0	.001385	.0196078	.0020167	0	.0011274	0	0	.1450777	0
1	0	1	"cancer_exhaem_cat_4"	.0017089	.0039929	.0027605	.0032437	.0042017	0	.001634	.0030323	.0047319	.0070729	0	.0023496	.0009174	0	0	.0023514	0	.0045767	.008589	.7818182	0	0	0	.0025929	0	0	1	0	0	.004902
1	0	1	"cancer_haem_cat_2"	0	.0004437	0	.0002317	0	0	0	.0003369	0	0	0	0	0	.0032397	0	0	0	0	0	0	.0002155	0	0	0	0	0	0	0	0	0
1	0	1	"cancer_haem_cat_3"	.0002848	.0008873	0	.0002317	0	0	0	.0003369	0	0	.0003684	0	0	0	0	.0003359	0	0	0	0	.0002873	0	0	.0002881	0	0	0	0	0	0
1	0	1	"cancer_haem_cat_4"	.0002848	.0026619	.0006901	.0016219	.0012005	0	.000817	.0016846	.0031546	.0016322	0	.0014098	.0009174	0	0	.0016795	0	.0045767	.001227	.2545455	0	0	0	.0017286	0	.0202931	.0175439	.0027933	.0051813	.004902
1	0	1	"chronic_cardiac_disease"	.0017089	.0035492	.0089717	.0071826	.0060024	.05	.0106209	.0080863	.0094637	.0048966	0	.0108083	.0082569	.0032397	.0222222	.0083977	.3085106	.0022883	.006135	0	0	.0069252	.0294118	.0106598	.0120482	.0022548	0	.0055866	.3989637	0
1	0	1	"chronic_liver_disease"	.0002848	0	.0034507	.0009268	.0048019	.0071429	0	.0013477	0	0	0	.0009398	0	.0021598	.0777778	.0013436	0	.0057208	.003681	0	0	.0027701	.0098039	.0011524	0	.005637	0	0	.0518135	.004902
1	0	1	"chronic_respiratory_disease"	.0014241	.001331	.0048309	.0034754	.0042017	.0285714	.004902	.004717	.0015773	.0021763	0	.0032895	.0073394	.0043197	.2555556	.0047027	.0053191	.0034325	.007362	0	0	.0041551	.3039216	.005762	.0120482	.0033822	0	.0167598	.0051813	.004902
1	0	1	"diabcat_2"	.0037026	.0044366	.0034507	.0062558	.0042017	.0142857	.0098039	.0053908	.011041	.0038085	0	.0108083	.0091743	.0075594	0	.0070541	.1595745	.0034325	.0134969	.0181818	0	.0055402	0	.0095073	.7831326	.0033822	.0175439	0	0	0
1	0	1	"diabcat_3"	.0017089	.0026619	.0069013	.0062558	.0060024	0	.004085	.009097	.011041	.0038085	0	.0084586	.0165138	.0140389	.0111111	.003695	.143617	.0022883	.0184049	0	0	.0110803	.0098039	.0060501	0	.0033822	0	.0139665	.3471503	0
1	0	1	"diabcat_4"	.0014241	.0031056	.0075914	.0060241	.0054022	.0285714	.004085	.0050539	.011041	.0059848	0	.0084586	.0091743	.0032397	.0111111	.0053745	.212766	.0057208	.008589	0	0	.001385	.0196078	.0054739	0	.005637	0	.1899441	.0051813	.0196078
1	0	1	"htdiag_or_highbp"	0	.0629991	.089717	.0780816	.0780312	.1142857	.0808824	.0896226	.4384858	.0642002	0	.1329887	.1743119	0	0	.0577763	0	.0640732	1	0	.0669396	.1135734	.127451	.0870066	.2650602	.0710259	.1578947	.122905	.1709845	.0784314
1	0	1	"imd_2"	0	1	0	0	.345138	0	0	0	0	.5805223	.1985816	.1823308	.166055	.1889849	.2222222	.205912	.1542553	.2036613	.1730061	.2727273	.1944265	.1786704	.1862745	.1996543	.1807229	.199549	.2807018	.1731844	.1502591	.2401961
1	0	1	"imd_3"	.6357163	0	0	0	.4321729	0	.5057189	0	.637224	.0054407	.2053053	.1823308	.1770642	.174946	.1666667	.2116224	.1702128	.2059497	.1803681	.1636364	.1998851	.1578947	.1470588	.2088735	.2771084	.2040586	.1754386	.1675978	.1658031	.2058824
1	0	1	"imd_4"	0	0	0	1	0	0	0	0	0	0	.2134107	.2227444	.240367	.2462203	.1777778	.2028888	.2819149	.1830664	.2368098	.1636364	.2183437	.2562327	.2352941	.2033996	.2289157	.1848929	.1754386	.2402235	.2279793	.1862745
1	0	1	"imd_5"	0	0	1	0	0	0	0	.9935984	0	0	.2070554	.2678571	.2834862	.2602592	.2555556	.1968425	.2340426	.194508	.2392638	.2181818	.2196366	.2368421	.2745098	.2106021	.2289157	.1984216	.1929825	.2932961	.3005181	.2009804
1	0	1	"no_condition"	.9287952	.6836734	.6307799	.6529194	.6152461	.2785714	0	.6495957	.4511041	.6316649	.9996316	.5836466	.5192661	.336933	0	0	0	0	0	0	.9317676	0	0	0	0	0	0	0	0	0
1	0	1	"obese4cat_2"	0	.0865129	.1428571	.1130677	.1206483	0	.1119281	.1307278	.6687697	.1060936	0	1	0	0	0	0	0	.1224256	0	0	.1020613	.132964	.1078431	.1302218	.2048193	.1206313	.0877193	.1871508	.1606218	.1372549
