agegroup	male	ethnicity	var	pc_all1	pc_all2	pc_all3	pc_all4	pc_all5	pc_all6	pc_all7	pc_all8	pc_all9	pc_all10	pc_demog_all1	pc_demog_all2	pc_demog_all3	pc_demog_all4	pc_demog_all5	pc_demog_all6	pc_demog_all7	pc_demog_all8	pc_demog_all9	pc_demog_all10	pc_demog_small1	pc_demog_small2	pc_demog_small3	pc_demog_small4	pc_demog_small5	pc_demog_small6	pc_demog_small7	pc_demog_small8	pc_demog_small9	pc_demog_small10
1	0	1	"obese4cat_3"	.0290516	.0408163	.0814355	.0625579	.0588235	.4285714	.0612745	.069407	.0252366	.0505985	0	0	1	0	0	0	0	.0457666	0	0	.0491273	.0844875	.1078431	.0726016	.0963855	.0518602	0	.103352	.0725389	.0833333
1	0	1	"obese4cat_4"	.0156651	.0288376	.0510697	.0412419	.0378151	.0071429	.0416667	.0559299	.0410095	.0342764	0	0	0	.4103672	0	.0537454	0	.0411899	.197546	.0909091	.028083	.0512465	.0098039	.0527226	.1204819	.042841	.1052632	.1005587	.1036269	.0980392
1	0	1	"organ_transplant"	0	.0004437	.0006901	.0002317	0	.0071429	0	.0013477	.0015773	.0005441	0	.0014098	.0009174	0	0	0	.0106383	0	.004908	0	0	.0027701	0	0	.0843373	0	0	.0027933	0	0
1	0	1	"other_immunosuppression"	.0324694	.0408163	.0517598	.0458758	.0534214	.0357143	.0547386	.0468329	.0709779	.14037	0	.0131579	.0201835	0	0	.0517299	0	.9954233	.007362	.0363636	0	0	0	0	0	.9842165	.0877193	0	0	1
1	0	1	"other_neuro"	.0008545	.0084295	.0034507	.0046339	.0036014	.05	.000817	.0070755	.011041	.0038085	0	.0056391	.0073394	0	.5777778	.0043668	0	.0034325	.009816	0	0	.0041551	.7156863	.0043215	0	.0033822	0	0	0	.0098039
1	0	1	"ra_sle_psoriasis"	.0170891	.0275067	.0503796	.044949	.0468187	.3357143	.0318627	.0377358	.0299685	.0446137	0	.0455827	.0568807	.4481641	.0111111	.036614	0	.0389016	.0576687	.0181818	0	1	0	0	0	.0383315	.0175439	0	0	.0441176
1	0	1	"reduced_kidney_function_cat_2"	.0008545	.0004437	.0006901	.0004634	.0006002	0	.000817	.0023585	.0031546	.0016322	0	.0009398	.0018349	.0010799	0	.0013436	.0425532	.0022883	.002454	0	0	.0027701	0	.0011524	.1445783	.0022548	0	0	.0051813	0
1	0	1	"reduced_kidney_function_cat_3"	0	0	.0013803	.0002317	.0006002	.0071429	0	.0003369	.0015773	0	0	0	0	0	0	0	.0053191	0	.007362	0	0	.001385	0	0	.0481928	0	0	.0055866	0	0
1	0	1	"smoke_nomiss_2"	.1979493	0	0	.2717794	0	0	.3529412	.379717	.2507886	.9499456	.2333057	.3078007	.3174312	.2969762	.2444444	.2898892	.3138298	.3729977	.2920246	.2727273	.2467141	.3199446	.2843137	.2901181	.4216867	.3664036	.3333333	.2793296	.3212435	.4362745
1	0	1	"smoke_nomiss_3"	0	0	1	.239342	1	0	0	0	.0157729	0	.1923183	.2476504	.2449541	.2548596	.2222222	.2099429	.2074468	.1956522	.2147239	.1818182	.2001006	.2714681	.1568628	.2189571	.1807229	.1961669	.1929825	.2988827	.238342	.2303922
1	0	1	"spleen"	0	.0004437	.0013803	.0006951	0	0	0	.0003369	0	.0016322	0	.0009398	0	.0010799	0	0	.0053191	.006865	0	0	0	0	0	0	0	.0022548	0	.0223464	0	0
1	0	1	"stroke_dementia"	.0008545	.0022183	.0013803	.0006951	.0006002	.0214286	.002451	.0020216	0	.0005441	0	.0009398	.0018349	.0010799	.1444445	.0026873	0	0	.001227	0	0	0	.0294118	.0023048	0	0	0	0	.0777202	.004902
1	1	1	"N"	.1614	.1478	.1246	.0133	.1316	.05245	.08985	.19735	.04175	.0399	.6038	.11145	.0223	.1558	.01625	.042	.0099	.0189	.00565	.01395	.73915	.19845	.0014	.02015	.00645	.0056	.00695	.00785	.00865	.00535
1	1	1	"asthmacat_2"	0	0	0	.2030075	.1971885	.0476644	1	.1991386	.0419162	.9924812	0	.1843876	.3318386	.9977535	1	0	0	.0291005	.2566372	0	0	.9997481	.0357143	0	.2635659	0	0	0	.0115607	.2616822
1	1	1	"asthmacat_3"	.0030979	.0084574	.0068218	.0601504	.0091185	.0142993	0	.0076007	.0347305	0	0	.0121131	.0134529	0	0	.022619	.0151515	.0185185	.0353982	.3584229	0	0	0	.0223325	0	0	0	1	0	0
1	1	1	"cancer_exhaem_cat_2"	.0003098	.0003383	.0004013	0	.0003799	.0009533	.0005565	.0002534	.0023952	.0025063	0	.0013459	.0022422	.0003209	0	0	0	.0132275	0	.0035842	0	.0007559	0	.0173697	0	0	.0071942	0	0	0
1	1	1	"cancer_exhaem_cat_3"	.0009294	.0003383	.0012039	0	.0011398	0	.001113	.0002534	.0011976	0	0	0	0	.0009628	0	.0130952	0	0	0	0	0	.0007559	.0357143	0	0	0	0	0	0	.0934579
1	1	1	"cancer_exhaem_cat_4"	.0012392	.0023681	.0012039	.0037594	.0007599	.0009533	.0016694	.0002534	.0023952	.0050125	0	.0026918	.0022422	.0012837	0	.0011905	.0808081	0	0	0	0	.0015117	0	.0024814	0	0	.1510791	0	0	0
1	1	1	"cancer_haem_cat_2"	0	.0003383	0	0	.0003799	0	.0005565	0	0	0	0	.0008973	0	0	0	0	.0050505	0	0	0	0	.0007559	0	0	0	0	0	0	0	0
1	1	1	"cancer_haem_cat_3"	.0003098	.0003383	.0008026	0	.0007599	0	.001113	0	0	0	0	0	.0112108	.0003209	0	.002381	0	0	0	0	.0004059	.0005039	0	0	0	0	0	0	0	0
1	1	1	"cancer_haem_cat_4"	0	.0013532	0	0	.0007599	.0019066	.001113	.0005067	.0011976	.0050125	0	.0008973	.0022422	.0038511	0	0	0	.0026455	0	.0035842	0	.0015117	0	.0024814	0	0	.0071942	0	.0057803	.0747664
1	1	1	"chronic_cardiac_disease"	.0024783	.009134	.0060193	.0451128	.0079787	.0142993	.0116861	.0076007	.0107784	.0150376	0	.0152535	.17713	.0115533	.0123077	.0071429	.010101	.015873	0	.0107527	0	.0115898	.0714286	.0124069	0	0	0	.0063694	.6531792	.0280374
1	1	1	"chronic_liver_disease"	.0009294	.0006766	.0008026	.0037594	.0037994	.0057197	.001113	.0045604	.005988	.0012531	0	.0049349	0	.0019255	.0030769	.0059524	.1111111	.005291	0	.0107527	0	.0020156	.1071429	.0049628	.0077519	0	.2302158	.0191083	.0057803	0
1	1	1	"chronic_respiratory_disease"	.0021685	.0030447	.0012039	0	.0041793	.006673	.0066778	.0055739	.0131737	0	0	.0049349	0	.0057766	.0092308	.0107143	.0050505	.0026455	0	.1397849	0	.0057949	.0357143	.0049628	0	.4553571	.0071942	.0191083	0	.0093458
1	1	1	"diabcat_2"	.0021685	.0037212	.0032103	.0300752	.0026596	.006673	.0044519	.0027869	.0035928	.0050125	0	.0098699	.0179372	.0016046	.0184615	.0083333	.020202	.0026455	0	.0752688	0	.005291	.0714286	.0049628	0	.4107143	.0071942	0	.0115607	0
1	1	1	"diabcat_3"	.0018587	.0054127	.005618	.0451128	.006079	.0114395	.0055648	.0076007	.0071856	.0137845	0	0	0	0	.0153846	.0178571	0	0	1	0	0	0	0	0	1	0	0	.0254777	0	0
1	1	1	"diabcat_4"	.0021685	.0047361	.0024077	.0037594	.0026596	.0076263	.0055648	.0050671	.0083832	.0137845	0	.0053836	.0067265	.0064185	.0030769	.0071429	.2474747	0	0	0	0	0	0	0	0	0	0	.0063694	0	.8411215
1	1	1	"htdiag_or_highbp"	0	.0788227	.1111557	.4135338	.0113982	.9980934	.1135225	.0836078	.1532934	.131579	0	1	.1278027	0	.2246154	0	0	.1825397	.3185841	0	.1141176	.1358025	.3928571	.1488834	.2868217	.2142857	.1870504	.1847134	.2254335	.1121495
1	1	1	"imd_2"	0	1	0	.0225564	0	.0781697	0	0	.0718563	.9924812	.1991553	.1812472	.1659193	.1973684	.2	.1845238	.1767677	.2037037	.2123894	.1505376	.1940743	.1952633	.1428571	.2158809	.2248062	.1785714	.1798561	.1656051	.2023121	.2429907
1	1	1	"imd_3"	.5715613	0	0	.2368421	.3632219	.3546234	.344463	0	.1269461	0	.1941868	.2000897	.1995516	.2044288	.2	.222619	.2121212	.1746032	.159292	.2365591	.1984036	.2003023	.25	.1761787	.1627907	.2232143	.1870504	.1847134	.1907514	.1962617
1	1	1	"imd_4"	0	0	.9963884	.0075188	.455927	.1410867	.3344463	0	0	0	.2264823	.2193809	.2286996	.2108472	.2123077	.1964286	.2121212	.2460317	.2123894	.2078853	.2247852	.2103804	.3214286	.2382134	.1860465	.1785714	.2230216	.2165605	.2543353	.1682243
1	1	1	"imd_5"	0	0	0	.424812	0	.207817	0	1	.1077844	0	.2142266	.2431584	.2399103	.199294	.2338462	.25	.2525252	.2063492	.2743363	.2365591	.2195765	.2111363	.1428571	.1960298	.2945736	.2410714	.266187	.2547771	.2023121	.2242991
1	1	1	"no_condition"	.9699504	.861299	.834671	.3721805	.7412614	0	0	.6974918	.6347305	0	1	0	.4529148	0	0	.8571429	.4646465	0	0	0	.8854766	0	0	0	0	0	0	0	0	0
1	1	1	"obese4cat_2"	.0229244	.0446549	.0630016	0	.0604103	.1696854	.0745687	.0501647	.4131736	.0814536	0	.1229251	0	0	1	.9833333	0	.031746	.0442478	0	.0652777	.0803729	.2142857	.1166253	.1937985	.1875	.0791367	.1656051	.0751445	.0841122
1	1	1	"obese4cat_3"	0	.0145467	.024077	.9210526	.0159574	.0371783	.0289371	.0043071	0	.0313283	0	.0565276	.8385651	0	0	0	0	.0291005	.1061947	0	.0215112	.0367851	.0357143	.0272953	.0852713	.0625	.028777	.0636943	.0693642	.0280374
1	1	1	"obese4cat_4"	.0037175	.0077808	.0168539	0	.0094985	.0200191	.0127991	.0152014	.0131737	.0062657	0	.0354419	0	.0096277	0	0	.510101	.015873	.0530973	0	.009335	.0128496	.0357143	.0148883	.0387597	.0625	.028777	.0382166	0	.0373832
1	1	1	"organ_transplant"	.0006196	.0010149	.0008026	0	.0003799	.006673	.0005565	0	.0011976	0	0	.0035891	.0044843	0	0	0	.0353535	0	0	0	0	0	.5714286	0	0	0	0	0	.0057803	0
1	1	1	"other_immunosuppression"	.0027881	.0050744	.0064205	.0075188	.0075988	.0085796	.0077908	.0065873	.0179641	.0112782	0	.0094213	.0044843	.0096277	.0092308	.0071429	.010101	.0132275	0	.2365591	0	.0095742	0	.0124069	0	0	.6402878	.0063694	0	.0186916
1	1	1	"other_neuro"	.0040273	.0037212	.0044141	0	.0041793	.0057197	.0055648	.0038004	.0047904	.0025063	0	.0053836	.0044843	.004172	.0092308	.0011905	.0050505	0	0	.1827957	0	.0040312	0	0	0	.0089286	0	0	.3757226	.0093458
1	1	1	"ra_sle_psoriasis"	.0074349	.0250338	.0236758	.0300752	.0319149	.0324118	.0255982	.0230555	.097006	.0338346	0	0	.0201794	.0311297	.04	.0404762	0	.989418	.0088496	0	0	.0322499	0	.9851117	.0077519	0	0	0	0	.0186916
1	1	1	"reduced_kidney_function_cat_2"	0	.0010149	.0032103	0	.0003799	.0038132	.0005565	.0005067	.0023952	.0012531	0	.0031404	.0022422	.0003209	0	.0035714	.0454545	.0026455	0	0	0	.000252	.6428571	.0024814	0	0	0	0	0	.0186916
1	1	1	"reduced_kidney_function_cat_3"	.0006196	0	0	0	0	0	.0005565	.0002534	0	0	0	.0004486	0	.0003209	0	0	.0050505	.0026455	0	0	0	.000252	.0714286	.0024814	0	0	0	0	0	0
1	1	1	"smoke_nomiss_2"	.1177199	.1688092	.2628411	.3834586	0	.0734032	.2721202	.1596149	.8766467	.2130326	.1602352	.2314939	.2825112	.1951219	.2769231	.2654762	.2070707	.2645503	.300885	.218638	.1750659	.2106324	.25	.2655087	.3023256	.2053571	.2302158	.2866242	.1849711	.2336449
1	1	1	"smoke_nomiss_3"	0	.1958728	0	.0263158	1	.5795996	0	.3585001	0	.2005012	.2683008	.2898161	.2040359	.2589859	.2246154	.297619	.2979798	.3174603	.300885	.2903226	.2722045	.2547241	.25	.3126551	.2945736	.2678571	.3309352	.3121019	.2312139	.2803738
1	1	1	"spleen"	0	.0003383	.0012039	0	.0007599	.0009533	0	.0005067	0	0	0	.0004486	0	.0003209	0	.0071429	0	0	0	.0035842	0	.000252	.0357143	0	0	.0535714	0	0	.0057803	0
1	1	1	"stroke_dementia"	.0006196	0	.002809	.0037594	0	.0019066	.0016694	.0012668	.0011976	.0012531	0	.0022432	.0044843	.0012837	0	.0011905	0	0	0	.0358423	0	.0012598	0	0	0	.1160714	0	.0063694	.0115607	.0093458
1	0	2	"N"	.1983	.0783	.02635	.05835	.19445	.04775	.08915	.1581	.01395	.1353	.60255	.14955	.0719	.01465	.04055	.02395	.01735	.00455	.03705	.0379	.73985	.1679	.0039	.0044	.0086	.0367	.00165	.0044	.01195	.02065
1	0	2	"asthmacat_2"	0	.2286079	.9487666	.9871466	.1581383	.2230366	0	.1647691	0	0	0	1	0	.1604096	0	0	0	0	.1551957	.2717678	0	1	0	0	0	0	.030303	0	0	0
1	0	2	"asthmacat_3"	.0073122	.0146871	0	0	.0141425	.0167539	.0263601	.0098039	.0430108	.0118256	0	0	.0250348	.0307167	.0246609	.2922756	.0115274	0	.0148448	.0329815	0	0	0	0	0	0	0	.0681818	1	0
1	0	2	"cancer_exhaem_cat_2"	.0005043	.0006386	.0018975	0	.0007714	.0010471	0	.0006325	0	0	0	.0003343	.0013908	.0102389	.001233	0	.0028818	0	.0013495	.0013193	0	.0005956	0	.0681818	0	.0013624	0	0	0	.0024213
1	0	2	"cancer_exhaem_cat_3"	.0012607	.00447	0	.0008569	.0020571	.0010471	.0005609	.001265	.0143369	.0018477	0	.0006687	.0013908	.0068259	.0024661	0	0	0	.0323887	.005277	0	.0011912	.0128205	0	0	.0422343	0	0	0	0
1	0	2	"cancer_exhaem_cat_4"	.0015129	.0012771	0	.0008569	.0017999	.0010471	.0011217	.0018975	.0107527	.0014782	.0015766	.0013373	.0020862	.003413	.001233	0	.0028818	0	.0013495	.0026385	0	.001489	0	.0113636	0	.0013624	0	0	0	.0605327
1	0	2	"cancer_haem_cat_2"	0	0	0	0	0	.0010471	0	0	0	0	0	0	0	0	0	0	0	0	.0013495	0	0	0	0	0	0	.0013624	0	0	0	0
1	0	2	"cancer_haem_cat_3"	0	0	0	0	.0005143	.0010471	0	.0006325	0	.0011086	0	.0006687	0	0	0	0	0	0	0	.0079156	0	.0005956	0	0	0	0	0	0	0	.0145278
1	0	2	"cancer_haem_cat_4"	.0002521	0	0	0	.0005143	.0020942	.0005609	.0009488	.0071685	.0018477	0	.0006687	.0006954	0	0	.0250522	0	0	.0013495	0	0	.0005956	0	0	.0755814	.0013624	0	0	0	0
1	0	2	"chronic_cardiac_disease"	.0040343	.0038314	.0018975	.0094259	.0030856	.0062827	.0061694	.0044276	.0286738	.0036955	0	.0063524	.0020862	.1808874	.0086313	.0041754	.0086455	0	.0040486	.0065963	0	.0062537	0	.0227273	0	.0054496	0	0	.0125523	.157385
1	0	2	"chronic_liver_disease"	.0040343	.0019157	.0018975	.0042845	.0025714	.0041885	.0011217	.001265	.0035842	.0014782	0	.0026747	.0027816	0	.0061652	0	.0662824	0	.0107962	.0026385	0	.0026802	0	.3409091	0	.0108992	.0606061	0	0	.0024213
1	0	2	"chronic_respiratory_disease"	.0015129	.0031928	.0075901	.0051414	.0035999	0	.003926	.001265	.0071685	.0022173	0	.005015	.0034771	.003413	.001233	.0020877	.0778098	0	.0040486	.0013193	0	.0044669	0	0	0	.0027248	1	0	.0167364	0
1	0	2	"diabcat_2"	.0075643	.0083014	.0170778	.0111397	.0097711	.0094241	.0089736	.0094877	.0035842	.0055432	0	.0093614	.0146036	.0273038	.0332922	.0020877	.0028818	.6153846	.0080972	.0343008	0	.0116141	0	0	.7034883	.0081744	0	0	.0251046	.0048426
1	0	2	"diabcat_3"	.0007564	.0063857	.0056926	.0059983	.0053998	.0041885	.0123388	.0037951	.0071685	.0029564	0	.0033434	.0027816	.0170648	.0209618	.0897704	0	0	.0053981	.0118734	0	.0044669	.8589743	0	0	.006812	0	0	.0209205	0
1	0	2	"diabcat_4"	.0045386	.0051086	.0132827	.0094259	.0061713	.0052356	.0056085	.0044276	.0322581	.004065	0	.0083584	.0104312	.0136519	.0123305	.0104384	.1383285	0	.0013495	.0118734	0	.0080405	0	0	0	0	.0909091	.9886364	0	0
1	0	2	"htdiag_or_highbp"	.0436208	.0849298	.0721063	.083976	.0658267	.0858639	.0695457	.055661	.2580645	.0617147	0	.0625209	0	.8293515	1	0	0	0	.0580297	.0461741	.0558221	.0824896	.2948718	.125	.2034884	.0885559	0	.1704545	.125523	.0895884
1	0	2	"imd_2"	0	0	.9487666	0	0	0	0	0	0	1	.1698614	.147108	.1210014	.1399317	.1664612	.1231733	.1412104	.1978022	.194332	.1306069	.1633439	.1486004	.0897436	.1363636	.1627907	.1839237	.2121212	.125	.125523	.1452785
1	0	2	"imd_3"	0	0	0	.1028278	0	0	.2781828	1	0	0	.1916023	.1925777	.1870654	.1569966	.1652281	.17119	.1527378	.2417582	.1848853	.1978892	.1897006	.1908874	.1794872	.1931818	.2325581	.1716621	.0909091	.1477273	.1715481	.1840194
1	0	2	"imd_4"	0	0	0	0	1	1	0	0	0	0	.2416397	.2480776	.2496523	.2696246	.2540074	.2546973	.2046109	.2417582	.2213225	.2203166	.2424816	.2465753	.3076923	.2272727	.2325581	.2234332	.2424242	.2727273	.292887	.188862
1	0	2	"imd_5"	.7163389	.6692209	0	.6126821	0	0	.6012339	0	0	0	.2671148	.2841859	.3400556	.3208191	.3119605	.3507307	.3602305	.2417582	.2415655	.3654354	.2799892	.2885646	.3589744	.3409091	.3023256	.2656676	.3636364	.3068182	.3305439	.3414043
1	0	2	"no_condition"	.8913262	.6085568	0	.0119966	.713551	.6240838	.813797	.7191651	.344086	.8414634	.9984233	0	.8490959	0	0	.5073069	0	0	0	.6266491	.9441779	0	0	0	0	0	0	0	0	0
1	0	2	"obese4cat_2"	.0769037	.1404853	.1043643	.1328192	.0995114	.1434555	.1138531	.0986717	.3405018	.0742794	0	.1300568	1	.8293515	0	0	0	0	0	0	.0927891	.1295414	.1282051	.1136364	.1627907	.1362398	.1818182	.2159091	.1841004	.1089588
1	0	2	"obese4cat_3"	.0350479	.0498084	.0550285	.0608398	.039856	.0565445	.0622546	.042062	.1111111	.0321508	0	0	0	0	.1294698	0	0	0	.0404858	.9934037	.0371697	.061346	.1410256	.0340909	.1453488	.0572207	0	.1022727	.1087866	.0387409
1	0	2	"obese4cat_4"	.0199193	.0440613	.0360531	.0659811	.0236565	.0418848	.0325294	.0224541	.0071685	.0184775	0	.0504848	0	0	.1023428	.5720251	.0144092	.1538462	.0404858	0	.0202068	.0485408	.1666667	.0340909	.122093	.0340599	0	.0568182	.0878661	.0169492
1	0	2	"organ_transplant"	.0002521	0	0	.0008569	0	.0010471	0	.0003163	0	0	0	.0003343	0	0	.0024661	0	0	0	.0013495	0	0	.0002978	0	0	.005814	.0013624	0	0	0	.0024213
1	0	2	"other_immunosuppression"	.0279879	.0555556	.0512334	.041988	.035999	.0596859	.0364554	.0401645	.265233	.0484109	0	.0063524	.0618915	.0477816	.0197287	0	0	0	.9716599	.0131926	0	.0434783	0	0	0	.9618528	0	.0340909	.0543933	0
1	0	2	"other_neuro"	.0030257	.00447	.0151803	.0008569	.0035999	.0031414	.003926	.0044276	.0071685	.0033259	0	.0053494	.0006954	.0136519	.0061652	.0939457	.0028818	0	.0026991	.0039578	0	.0047647	.0128205	.6136364	0	.0027248	.030303	0	.0083682	.0024213
1	0	2	"ra_sle_psoriasis"	.0121029	.0421456	.0777989	.0325621	.0146567	.0303665	.0325294	.0196078	.0179211	.0192166	0	.0307589	.027121	.0136519	.0345253	.0020877	.7377521	0	.0202429	.0277045	0	.0312686	.025641	0	0	.0177112	.030303	.0227273	.0334728	.786925
1	0	2	"reduced_kidney_function_cat_2"	.0007564	.0019157	.0018975	.0008569	.0017999	.0031414	0	.0006325	0	.0011086	0	.0016717	.0006954	.0068259	.0061652	.0020877	0	.0659341	.0040486	0	0	.0017868	.1666667	0	0	.0027248	0	0	0	.0048426
1	0	2	"reduced_kidney_function_cat_3"	.0005043	0	0	0	.0002571	.0010471	0	0	0	.0003695	0	0	0	0	.0061652	0	0	0	0	0	0	0	0	0	0	.0013624	0	.0227273	0	.0048426
1	0	2	"smoke_nomiss_2"	0	1	.2466793	0	0	1	0	.2501581	0	.1821877	.1647996	.2497492	.2489569	.2627986	.2108508	.2609603	.2305475	.1758242	.2550607	.2453826	.1764547	.2578916	.2435897	.2272727	.1860465	.253406	.1212121	.1931818	.2677824	.2808717
1	0	2	"smoke_nomiss_3"	0	0	.142315	.3847472	.2327076	0	.9994391	0	0	.1289726	.1604016	.2082915	.1905424	.1945392	.1775586	.2651357	.2305475	.0879121	.1754386	.2427441	.1677367	.2164979	.3333333	.125	.1569767	.1416894	.3333333	.125	.3263598	.2009685
1	0	2	"spleen"	.0012607	0	.0018975	0	.0012857	.0020942	.0005609	.0022138	.0107527	.0025868	0	.0013373	.0013908	0	.0024661	0	0	.2307692	.0013495	.0013193	0	.0011912	.0128205	0	.1453488	.0013624	0	0	0	0
1	0	2	"stroke_dementia"	.0002521	.0012771	.0018975	0	.0012857	0	.0011217	.0009488	.0107527	.0011086	0	.001003	.0013908	.003413	.0036991	0	0	.1208791	0	0	0	.0008934	.0128205	0	.0872093	0	0	0	0	.0024213
