age	male	risk_cons	risk_cons_uci	risk_cons_lci	risk_respiratory	risk_respiratory_uci	risk_respiratory_lci	risk_cf	risk_cf_uci	risk_cf_lci	risk_asthmacat_2	risk_asthmacat_2_uci	risk_asthmacat_2_lci	risk_asthmacat_3	risk_asthmacat_3_uci	risk_asthmacat_3_lci	risk_cardiac	risk_cardiac_uci	risk_cardiac_lci	risk_diabcat_2	risk_diabcat_2_uci	risk_diabcat_2_lci	risk_diabcat_3	risk_diabcat_3_uci	risk_diabcat_3_lci	risk_diabcat_4	risk_diabcat_4_uci	risk_diabcat_4_lci	risk_hypertension	risk_hypertension_uci	risk_hypertension_lci	risk_af	risk_af_uci	risk_af_lci	risk_dvt_pe	risk_dvt_pe_uci	risk_dvt_pe_lci	risk_pad	risk_pad_uci	risk_pad_lci	risk_cancerExhaem_2	risk_cancerExhaem_2_uci	risk_cancerExhaem_2_lci	risk_cancerExhaem_3	risk_cancerExhaem_3_uci	risk_cancerExhaem_3_lci	risk_cancerExhaem_4	risk_cancerExhaem_4_uci	risk_cancerExhaem_4_lci	risk_cancerHaem_2	risk_cancerHaem_2_uci	risk_cancerHaem_2_lci	risk_cancerHaem_3	risk_cancerHaem_3_uci	risk_cancerHaem_3_lci	risk_cancerHaem_4	risk_cancerHaem_4_uci	risk_cancerHaem_4_lci	risk_liver	risk_liver_uci	risk_liver_lci	risk_stroke	risk_stroke_uci	risk_stroke_lci	risk_dementia	risk_dementia_uci	risk_dementia_lci	risk_tia	risk_tia_uci	risk_tia_lci	risk_neuro	risk_neuro_uci	risk_neuro_lci	risk_kidneyfn_2	risk_kidneyfn_2_uci	risk_kidneyfn_2_lci	risk_kidneyfn_3	risk_kidneyfn_3_uci	risk_kidneyfn_3_lci	risk_transplant	risk_transplant_uci	risk_transplant_lci	risk_dialysis	risk_dialysis_uci	risk_dialysis_lci	risk_spleen	risk_spleen_uci	risk_spleen_lci	risk_autoimmune	risk_autoimmune_uci	risk_autoimmune_lci	risk_ibd	risk_ibd_uci	risk_ibd_lci	risk_immunosuppression	risk_immunosuppression_uci	risk_immunosuppression_lci	risk_smi	risk_smi_uci	risk_smi_lci	risk_ldr	risk_ldr_uci	risk_ldr_lci	risk_ds	risk_ds_uci	risk_ds_lci	p50	p70	p80	p90
18	1	.5079363	.9902655	.1028808	.7358904	.9998746	.1790584	.786422	.9999999	.1382565	.5944669	.9972807	.1288102	.9252402	1	.3173915	.7189713	.9997828	.1738765	.7607203	.9999245	.1938326	.8582147	.9999976	.2552586	.7803995	.9999614	.2023979	.5925058	.9973059	.1273416	.4665083	.9871191	.0867185	.7712994	.9999527	.1963439	.5305754	.9976621	.0900798	.9359101	1	.2802321	.7625029	.9999846	.1701419	.4688058	.9934244	.0765653	.9891069	1	.3522622	.9335427	1	.2773777	.7090955	.9999447	.1440367	.7989668	.9999822	.2096968	.6906157	.999731	.1541566	.7384564	.9999941	.1387502	.4973091	.9955113	.083781	.8021321	.9999859	.2093675	.4945747	.9948355	.0846225	.9867688	1	.447225	.4739882	.9916537	.0826219	.667125	.9997419	.1362309	.6149524	.9998064	.101056	.5715239	.9964383	.1196299	.6878604	.9996403	.1571303	.9550608	1	.3382474	.5992021	.9979453	.1263704	.6836192	.9995775	.1567216	.8323793	.9999991	.2048942	.5610501	.7424341	.8494718	.9566949
19	1	.512691	.9907917	.1043788	.7406615	.9998875	.1815368	.7908891	.9999999	.1401838	.5994476	.9974676	.1306503	.9278484	1	.3213812	.7238132	.9998038	.1762899	.7653601	.9999327	.1964988	.8619567	.999998	.2586269	.7849107	.9999658	.2051671	.5974841	.9974906	.1291677	.4710782	.987777	.0879886	.7758729	.999958	.1990425	.5354111	.9978279	.0913876	.9382764	1	.2838172	.7671321	.9999865	.1725053	.4733872	.9938129	.0776874	.9897605	1	.3564752	.9359645	1	.2809402	.7139723	.9999509	.1460673	.8033346	.9999844	.2125497	.6955457	.9997564	.1563231	.7432154	.9999949	.1406896	.5020208	.9957972	.085	.8064732	.9999877	.2122166	.4992749	.9951552	.0858561	.9875296	1	.4522173	.4785948	.9921203	.0838369	.672101	.9997665	.1381608	.6199514	.9998257	.1025048	.5764674	.9966707	.1213574	.6927971	.9996729	.1593447	.9569299	1	.3423947	.6041883	.9980922	.1281855	.6885654	.9996154	.1589203	.8364287	.9999992	.2076817	.5610501	.7424341	.8494718	.9566949
20	1	.517464	.9913037	.1058763	.7454099	.9998994	.1840113	.795322	.9999999	.1421136	.6044341	.9976467	.1324888	.9303994	1	.3253537	.7286363	.9998233	.1786996	.7699717	.9999402	.1991599	.8656492	.9999983	.2619849	.7893891	.9999698	.2079308	.6024684	.9976677	.1309925	.4756708	.9884191	.0892589	.7804158	.9999629	.2017363	.5402622	.9979863	.0926968	.9405858	1	.2873936	.7717326	.9999883	.1748675	.477991	.9941884	.078811	.9903831	1	.3606753	.9383294	1	.2844945	.7188326	.9999565	.1480979	.8076653	.9999864	.2153971	.7004631	.9997801	.1584879	.7479512	.9999956	.14263	.506752	.9960721	.0862202	.8107765	.9999893	.2150602	.5039948	.9954634	.0870908	.9882563	1	.4571742	.4832234	.9925731	.0850528	.6770692	.9997893	.1400903	.6249526	.9998435	.1039556	.5814204	.9968942	.1230842	.6977217	.9997035	.161557	.9587452	1	.3465243	.6091796	.9982326	.1299996	.6935004	.9996508	.1611164	.8404338	.9999993	.2104661	.5610501	.7424341	.8494718	.9566949
21	1	.5222545	.9918014	.1073726	.7501346	.9999103	.1864809	.7997198	.9999999	.1440452	.6094255	.9978178	.134325	.9328933	1	.3293075	.7334396	.9998415	.1811042	.774554	.999947	.2018148	.8692915	.9999985	.2653311	.7938337	.9999735	.210688	.607458	.9978369	.1328153	.4802856	.9890448	.0905291	.7849269	.9999673	.2044242	.5451279	.998137	.0940069	.9428387	1	.2909601	.7763033	.9999898	.1772274	.4826168	.9945508	.0799356	.9909756	1	.3648612	.9406376	1	.2880393	.723675	.9999617	.150128	.8119581	.9999881	.2182375	.7053668	.999802	.1606499	.7526627	.9999962	.1445709	.5115021	.996336	.0874411	.8150411	.9999907	.2178971	.508734	.9957598	.0883262	.9889496	1	.4620939	.4878735	.9930117	.0862694	.6820285	.9998105	.1420189	.6299551	.9998598	.1054077	.586382	.9971087	.1248094	.7026331	.9997319	.1637661	.9605072	1	.3506346	.6141748	.9983663	.1318121	.6984231	.9996838	.163309	.8443936	.9999995	.2132464	.5610501	.7424341	.8494718	.9566949
22	1	.5270622	.9922841	.1088672	.7548345	.9999203	.1889446	.8040813	.9999999	.145978	.614421	.9979811	.136158	.9353302	1	.3332409	.7382217	.9998581	.183503	.7791058	.9999532	.2044625	.8728829	.9999987	.2686641	.7982433	.9999768	.2134374	.612452	.9979984	.1346352	.484922	.9896536	.0917986	.7894052	.9999713	.207105	.5500078	.9982802	.0953172	.9450353	1	.2945154	.7808432	.9999912	.1795842	.487264	.9948998	.0810606	.991539	1	.3690316	.9428892	1	.2915733	.7284987	.9999663	.1521566	.8162118	.9999897	.2210699	.7102556	.9998223	.1628082	.7573489	.9999968	.1465116	.5162706	.996589	.0886621	.819266	.999992	.2207263	.5134918	.9960445	.0895616	.9896107	1	.4669747	.4925444	.9934359	.0874861	.6869781	.99983	.1439457	.6349579	.9998749	.1068606	.5913516	.997314	.1265326	.7075303	.9997583	.1659712	.9622166	1	.354724	.6191734	.9984934	.1336223	.7033327	.9997146	.1654973	.8483074	.9999995	.2160215	.5610501	.7424341	.8494718	.9566949
23	1	.5319	.9927529	.1103633	.7595217	.9999295	.1914077	.8084177	.9999999	.1479164	.6194338	.9981369	.1379918	.9377168	1	.3371626	.7429953	.9998735	.1859012	.783639	.9999588	.2071087	.8764327	.9999989	.2719911	.8026295	.9999798	.216185	.6174636	.9981526	.1364561	.489593	.9902466	.0930702	.7938622	.9999749	.2097846	.5549149	.9984164	.0966308	.9471818	1	.2980675	.785364	.9999924	.1819431	.4919455	.9952363	.0821887	.9920757	1	.3731962	.9450907	1	.2951044	.7333161	.9999705	.1541884	.8204375	.9999911	.2239004	.7151424	.999841	.1649678	.7620217	.9999973	.1484565	.5210704	.9968315	.0898862	.8234621	.9999931	.2235539	.5182813	.9963181	.0907999	.9902422	1	.4718275	.4972492	.9938467	.0887057	.6919308	.9998481	.145875	.6399745	.9998887	.1083178	.5963424	.9975109	.1282572	.7124261	.9997829	.1681771	.9638786	1	.3588018	.6241885	.9986143	.135434	.7082416	.9997432	.1676859	.8521852	.9999996	.2187975	.5610501	.7424341	.8494718	.9566949
24	1	.5368361	.9932138	.1118804	.7642606	.999938	.1939027	.8127884	.9999999	.1498865	.6245341	.9982873	.1398506	.9400854	1	.3411239	.747826	.9998878	.1883305	.7882155	.999964	.2097883	.879989	.9999991	.2753558	.807052	.9999825	.2189669	.6225631	.9983014	.1383023	.4943647	.9908315	.0943607	.7983587	.9999782	.2124981	.5599183	.9985473	.0979651	.9493072	1	.3016636	.7899274	.9999935	.1843352	.4967277	.9955648	.0833348	.9925934	1	.3774106	.9472716	1	.2986794	.7381935	.9999744	.1562501	.8246927	.9999924	.226766	.7200947	.9998586	.1671569	.7667454	.9999977	.1504319	.5259694	.997067	.0911296	.8276864	.9999941	.2264169	.5231702	.9965843	.0920576	.9908531	1	.4767156	.5020545	.9942493	.0899439	.6969553	.9998649	.1478322	.6450745	.9999015	.1097986	.6014244	.9977017	.1300058	.7173882	.9998059	.1704127	.9655156	1	.3629216	.6292901	.9987305	.137271	.713218	.9997701	.1699036	.8560796	.9999997	.2216109	.5610501	.7424341	.8494718	.9566949
25	1	.5419536	.9936725	.1134442	.7691271	.9999458	.1964717	.8172621	1	.1519213	.629806	.9984342	.1417656	.942471	1	.3451902	.7527913	.9999013	.1908317	.792908	.9999688	.2125462	.8836063	.9999993	.2788143	.8115807	.999985	.2218297	.6278346	.9984467	.1402047	.4993177	.9914156	.0956918	.8029661	.9999812	.2152908	.5651018	.9986748	.0993426	.951443	1	.3053638	.7946061	.9999945	.1868006	.5016912	.9958893	.0845183	.9930997	1	.3817452	.9494644	1	.3023576	.7432095	.9999779	.1583763	.829044	.9999936	.2297149	.7251924	.9998751	.1694124	.7715955	.9999981	.1524713	.5310499	.9972982	.0924133	.8320053	.9999951	.229363	.5282406	.9968463	.093356	.9914524	1	.481719	.5070412	.9946489	.0912217	.7021331	.9998809	.1498502	.6503422	.9999135	.1113283	.6066818	.9978889	.1318079	.7224966	.9998279	.1727151	.9671516	1	.3671518	.6345624	.9988436	.1391641	.7183423	.9997957	.1721877	.860051	.9999998	.2245085	.5610501	.7424341	.8494718	.9566949
26	1	.5473361	.9941329	.1150822	.7741943	.9999532	.1991599	.8219044	1	.1540567	.6353337	.9985786	.1437709	.944905	1	.3494315	.7579667	.9999141	.1934491	.7977864	.9999733	.2154311	.8873352	.9999994	.282427	.8162822	.9999873	.2248235	.6333622	.9985896	.1421971	.5045341	.992004	.0970873	.8077525	.999984	.2182117	.5705496	.9987996	.1007878	.9536166	1	.3092326	.7994694	.9999954	.1893826	.5069184	.9962125	.0857603	.9936005	1	.3862746	.9516975	1	.3062029	.7484408	.9999812	.1606045	.833555	.9999946	.2327986	.7305142	.9998909	.171774	.7766449	.9999985	.1546113	.5363954	.9975269	.0937603	.8364815	.9999959	.2324437	.533576	.9971063	.0947182	.992047	1	.4869217	.5122919	.995049	.0925615	.7075449	.9998959	.1519649	.6558607	.9999248	.112934	.6121992	.9980738	.1336951	.7278304	.9998487	.1751249	.9688072	1	.3715652	.6400896	.9989544	.1411467	.7236937	.9998201	.1745784	.8641561	.9999998	.2275407	.5610501	.7424341	.8494718	.9566949
27	1	.5530685	.994597	.1168247	.7795331	.9999602	.2020163	.8267775	1	.1563312	.641201	.9987209	.1459031	.947414	1	.3539226	.7634253	.9999261	.1962305	.8029173	.9999775	.2184952	.8912218	.9999995	.2862583	.8212198	.9999894	.2280024	.6392299	.9987305	.1443161	.5100973	.9925998	.0985727	.8127828	.9999866	.2213132	.5763468	.9989222	.102327	.9558512	1	.3133385	.804584	.9999962	.1921277	.5124926	.9965359	.0870835	.9940997	1	.3910775	.9539945	1	.3102833	.7539615	.9999841	.162975	.8382854	.9999956	.2360724	.7361364	.9999057	.1742848	.781964	.9999987	.1568909	.5420905	.9977542	.0951954	.8411739	.9999966	.2357144	.5392609	.9973652	.0961692	.9926417	1	.4924121	.5178903	.9954513	.0939876	.7132695	.9999101	.1542145	.6617129	.9999354	.114645	.6180611	.9982572	.1357019	.7334661	.9998686	.1776857	.9704988	1	.3762392	.6459551	.9990632	.1432548	.7293496	.9998434	.1771193	.8684472	.9999998	.2307618	.5610501	.7424341	.8494718	.9566949
