age	male	risk_cons	risk_cons_uci	risk_cons_lci	risk_respiratory	risk_respiratory_uci	risk_respiratory_lci	risk_cf	risk_cf_uci	risk_cf_lci	risk_asthmacat_2	risk_asthmacat_2_uci	risk_asthmacat_2_lci	risk_asthmacat_3	risk_asthmacat_3_uci	risk_asthmacat_3_lci	risk_cardiac	risk_cardiac_uci	risk_cardiac_lci	risk_diabcat_2	risk_diabcat_2_uci	risk_diabcat_2_lci	risk_diabcat_3	risk_diabcat_3_uci	risk_diabcat_3_lci	risk_diabcat_4	risk_diabcat_4_uci	risk_diabcat_4_lci	risk_hypertension	risk_hypertension_uci	risk_hypertension_lci	risk_af	risk_af_uci	risk_af_lci	risk_dvt_pe	risk_dvt_pe_uci	risk_dvt_pe_lci	risk_pad	risk_pad_uci	risk_pad_lci	risk_cancerExhaem_2	risk_cancerExhaem_2_uci	risk_cancerExhaem_2_lci	risk_cancerExhaem_3	risk_cancerExhaem_3_uci	risk_cancerExhaem_3_lci	risk_cancerExhaem_4	risk_cancerExhaem_4_uci	risk_cancerExhaem_4_lci	risk_cancerHaem_2	risk_cancerHaem_2_uci	risk_cancerHaem_2_lci	risk_cancerHaem_3	risk_cancerHaem_3_uci	risk_cancerHaem_3_lci	risk_cancerHaem_4	risk_cancerHaem_4_uci	risk_cancerHaem_4_lci	risk_liver	risk_liver_uci	risk_liver_lci	risk_stroke	risk_stroke_uci	risk_stroke_lci	risk_dementia	risk_dementia_uci	risk_dementia_lci	risk_tia	risk_tia_uci	risk_tia_lci	risk_neuro	risk_neuro_uci	risk_neuro_lci	risk_kidneyfn_2	risk_kidneyfn_2_uci	risk_kidneyfn_2_lci	risk_kidneyfn_3	risk_kidneyfn_3_uci	risk_kidneyfn_3_lci	risk_transplant	risk_transplant_uci	risk_transplant_lci	risk_dialysis	risk_dialysis_uci	risk_dialysis_lci	risk_spleen	risk_spleen_uci	risk_spleen_lci	risk_autoimmune	risk_autoimmune_uci	risk_autoimmune_lci	risk_ibd	risk_ibd_uci	risk_ibd_lci	risk_immunosuppression	risk_immunosuppression_uci	risk_immunosuppression_lci	risk_smi	risk_smi_uci	risk_smi_lci	risk_ldr	risk_ldr_uci	risk_ldr_lci	risk_ds	risk_ds_uci	risk_ds_lci	p50	p70	p80	p90
18	0	.0005303	.0007719	.0003643	.0012231	.001907	.0007844	.000881	.002938	.000264	.0007144	.0010478	.0004871	.0018034	.002777	.0011709	.0007261	.0011454	.0004603	.0009391	.0014271	.000618	.0015309	.0023324	.0010046	.00108	.0017112	.0006816	.0007756	.0011591	.000519	.0008259	.0013558	.0005031	.0011939	.0018283	.0007796	.0012682	.0026616	.000604	.0023375	.0041999	.0013005	.0014985	.0024846	.0009035	.0007809	.0013354	.0004566	.0106105	.0232213	.0048314	.0037699	.007997	.0017752	.0009906	.0021812	.0004497	.0014411	.002384	.0008709	.0008654	.0014973	.0005	.0004494	.0018923	.0001067	.0008651	.0016273	.0004598	.0013636	.0021718	.000856	.0013865	.0023538	.0008166	.0017837	.0037767	.000842	.0007492	.0015451	.0003632	.0010351	.0022243	.0004815	.001527	.0029654	.000786	.0006379	.0009645	.0004219	.000702	.0011572	.0004258	.0006027	.0014696	.0002471	.0011875	.0018376	.0007674	.0012814	.0020174	.0008138	.000729	.0016766	.0003169	.0010997	.0016128	.0021058	.0029891
19	0	.0005517	.0007994	.0003808	.0012724	.0019763	.0008191	.0009164	.0030515	.000275	.0007432	.0010852	.000509	.001876	.0028772	.001223	.0007553	.001187	.0004806	.0009769	.0014783	.0006456	.0015925	.0024164	.0010494	.0011235	.0017732	.0007117	.0008069	.0012006	.0005422	.0008592	.0014054	.0005252	.001242	.0018939	.0008144	.0013192	.0027623	.0006298	.0024316	.0043556	.0013568	.0015588	.0025756	.0009432	.0008123	.0013847	.0004765	.0110356	.0240926	.0050367	.0039215	.008299	.0018508	.0010304	.0022639	.0004689	.0014991	.0024714	.0009091	.0009002	.0015528	.0005218	.0004675	.0019662	.0001111	.0008999	.0016882	.0004796	.0014185	.0022507	.0008938	.0014423	.0024406	.0008522	.0018555	.0039192	.000878	.0007794	.0016034	.0003788	.0010768	.0023091	.000502	.0015884	.0030766	.0008198	.0006636	.000999	.0004408	.0007302	.0011996	.0004445	.000627	.0015258	.0002576	.0012353	.0019039	.0008014	.001333	.0020909	.0008497	.0007584	.0017404	.0003304	.0010997	.0016128	.0021058	.0029891
20	0	.0005739	.0008281	.0003977	.0013236	.0020489	.0008549	.0009533	.00317	.0002865	.0007731	.0011244	.0005316	.0019515	.0029825	.0012767	.0007857	.0012308	.0005016	.0010163	.0015321	.000674	.0016566	.0025045	.0010956	.0011687	.0018383	.0007429	.0008393	.0012442	.0005662	.0008937	.0014575	.000548	.001292	.0019628	.0008503	.0013723	.0028675	.0006565	.0025294	.0045187	.0014153	.0016215	.0026709	.0009843	.000845	.0014363	.0004971	.0114776	.0250025	.0052493	.0040791	.0086147	.0019292	.0010719	.0023503	.0004887	.0015594	.0025629	.0009487	.0009364	.0016108	.0005443	.0004864	.0020432	.0001157	.0009361	.001752	.0005001	.0014756	.0023334	.0009329	.0015004	.0025314	.0008891	.0019302	.0040683	.0009153	.0008108	.0016644	.0003949	.0011202	.0023978	.0005231	.0016524	.003193	.0008548	.0006904	.0010353	.0004603	.0007596	.001244	.0004638	.0006522	.0015846	.0002684	.0012851	.0019735	.0008367	.0013866	.002168	.0008867	.0007889	.0018071	.0003443	.0010997	.0016128	.0021058	.0029891
21	0	.000597	.0008585	.0004151	.0013769	.0021252	.0008919	.0009917	.0032936	.0002984	.0008043	.0011656	.0005549	.00203	.003093	.0013321	.0008174	.0012767	.0005233	.0010572	.0015888	.0007035	.0017233	.0025972	.0011433	.0012158	.0019067	.0007752	.0008731	.00129	.000591	.0009297	.0015121	.0005716	.001344	.0020351	.0008875	.0014276	.0029774	.0006842	.0026312	.0046896	.0014756	.0016868	.002771	.0010266	.0008791	.0014904	.0005184	.0119372	.0259533	.0054694	.0042431	.0089448	.0020103	.0011151	.0024407	.0005093	.0016222	.002659	.0009894	.0009741	.0016717	.0005676	.000506	.0021237	.0001205	.0009738	.0018187	.0005214	.001535	.0024202	.0009733	.0015608	.0026267	.0009272	.0020079	.0042242	.0009539	.0008434	.0017282	.0004116	.0011653	.0024905	.000545	.0017189	.0033147	.000891	.0007182	.0010735	.0004804	.0007902	.0012906	.0004838	.0006785	.001646	.0002796	.0013368	.0020465	.0008731	.0014425	.002249	.000925	.0008207	.0018768	.0003588	.0010997	.0016128	.0021058	.0029891
22	0	.0006211	.0008904	.0004332	.0014323	.0022054	.0009301	.0010317	.0034227	.0003107	.0008366	.0012091	.0005789	.0021117	.0032092	.0013893	.0008503	.001325	.0005456	.0010998	.0016482	.0007337	.0017927	.0026945	.0011925	.0012647	.0019785	.0008084	.0009083	.0013382	.0006165	.0009672	.0015693	.000596	.0013981	.0021111	.0009257	.001485	.0030925	.0007128	.002737	.0048686	.001538	.0017547	.0028759	.0010704	.0009145	.0015472	.0005404	.0124151	.0269467	.0056971	.0044137	.0092901	.0020942	.00116	.0025352	.0005305	.0016875	.0027598	.0010316	.0010134	.0017355	.0005916	.0005263	.0022075	.0001254	.001013	.0018886	.0005433	.0015967	.0025113	.0010151	.0016236	.0027267	.0009665	.0020887	.0043873	.0009938	.0008774	.0017949	.0004288	.0012122	.0025876	.0005677	.001788	.0034423	.0009284	.0007471	.0011135	.0005012	.0008221	.0013395	.0005044	.0007058	.0017102	.0002912	.0013906	.0021233	.0009106	.0015005	.0023341	.0009645	.0008538	.0019497	.0003737	.0010997	.0016128	.0021058	.0029891
23	0	.000646	.0009239	.0004517	.0014899	.0022895	.0009694	.0010731	.0035572	.0003235	.0008703	.0012547	.0006036	.0021966	.0033312	.0014482	.0008845	.0013756	.0005687	.001144	.0017107	.0007649	.0018647	.0027967	.0012431	.0013156	.0020537	.0008426	.0009448	.0013888	.0006427	.0010061	.0016294	.0006211	.0014543	.002191	.0009652	.0015447	.0032128	.0007424	.002847	.005056	.0016023	.0018252	.0029859	.0011154	.0009512	.0016066	.0005631	.0129113	.0279835	.0059325	.0045908	.0096508	.0021809	.0012066	.0026339	.0005525	.0017553	.0028654	.001075	.0010541	.0018024	.0006164	.0005475	.0022949	.0001305	.0010538	.0019617	.0005659	.0016609	.002607	.001058	.0016889	.0028314	.0010071	.0021726	.0045577	.001035	.0009127	.0018647	.0004466	.0012609	.0026889	.000591	.0018599	.0035756	.0009671	.0007771	.0011557	.0005226	.0008551	.0013908	.0005257	.0007342	.0017772	.0003032	.0014465	.0022039	.0009493	.0015608	.0024234	.0010051	.0008881	.0020257	.0003892	.0010997	.0016128	.0021058	.0029891
24	0	.0006718	.000959	.0004706	.0015492	.0023773	.0010095	.0011159	.0036964	.0003366	.000905	.0013025	.0006288	.0022841	.0034583	.0015082	.0009197	.0014283	.0005922	.0011896	.0017759	.0007967	.001939	.0029033	.0012947	.001368	.0021322	.0008776	.0009825	.0014417	.0006695	.0010462	.0016919	.0006468	.0015122	.0022743	.0010054	.0016063	.0033376	.0007727	.0029603	.0052508	.0016682	.0018979	.0031003	.0011616	.0009891	.0016684	.0005863	.0134227	.0290578	.0061737	.0047734	.010025	.0022697	.0012547	.0027362	.0005751	.0018252	.0029753	.0011194	.0010961	.0018719	.0006418	.0005693	.0023853	.0001358	.0010958	.0020376	.0005891	.0017271	.0027066	.0011019	.0017561	.0029404	.0010486	.0022592	.0047345	.0010773	.0009491	.0019371	.0004649	.0013112	.0027941	.000615	.001934	.0037141	.0010067	.0008081	.0011996	.0005444	.0008892	.0014442	.0005474	.0007635	.0018467	.0003155	.0015042	.002288	.0009887	.001623	.0025165	.0010466	.0009235	.0021046	.0004051	.0010997	.0016128	.0021058	.0029891
25	0	.0006981	.0009953	.0004897	.0016099	.0024679	.00105	.0011596	.0038392	.0003499	.0009404	.0013519	.0006542	.0023735	.0035897	.001569	.0009557	.0014828	.000616	.0012361	.0018432	.0008289	.0020149	.0030136	.0013469	.0014216	.0022132	.000913	.0010209	.0014964	.0006965	.0010871	.0017564	.0006728	.0015714	.0023603	.0010461	.0016691	.003466	.0008035	.0030761	.0054513	.0017349	.0019722	.0032184	.0012082	.0010279	.0017322	.0006099	.0139449	.0301607	.0064188	.00496	.0104095	.00236	.0013038	.0028414	.000598	.0018967	.0030888	.0011644	.001139	.0019436	.0006675	.0005916	.002478	.0001411	.0011387	.0021158	.0006127	.0017947	.0028094	.0011463	.0018249	.0030527	.0010906	.0023476	.0049162	.0011203	.0009862	.0020115	.0004834	.0013625	.0029023	.0006394	.0020097	.0038566	.0010468	.0008398	.001245	.0005664	.000924	.0014992	.0005695	.0007934	.0019181	.0003281	.001563	.0023748	.0010287	.0016866	.0026126	.0010886	.0009596	.0021857	.0004212	.0010997	.0016128	.0021058	.0029891
26	0	.0007247	.0010325	.0005087	.0016712	.0025606	.0010906	.0012038	.0039842	.0003633	.0009763	.0014025	.0006795	.0024639	.0037242	.0016297	.0009922	.0015385	.0006398	.0012833	.0019121	.0008611	.0020916	.0031263	.0013992	.0014757	.002296	.0009484	.0010599	.0015524	.0007235	.0011286	.0018223	.0006988	.0016313	.0024483	.0010868	.0017327	.0035965	.0008344	.0031932	.0056556	.001802	.0020474	.0033389	.0012551	.0010671	.0017971	.0006335	.0144728	.0312815	.0066651	.0051487	.0108007	.0024507	.0013535	.0029485	.0006211	.0019689	.0032045	.0012095	.0011825	.0020167	.0006932	.0006142	.002572	.0001466	.0011821	.0021955	.0006363	.0018631	.0029145	.0011907	.0018944	.0031673	.0011328	.002437	.0051011	.0011634	.0010238	.0020874	.000502	.0014144	.0030124	.0006638	.0020863	.0040017	.0010872	.0008718	.0012915	.0005884	.0009592	.0015554	.0005915	.0008236	.0019906	.0003406	.0016226	.0024635	.0010686	.0017508	.0027109	.0011306	.0009962	.0022681	.0004374	.0010997	.0016128	.0021058	.0029891
27	0	.0007513	.0010701	.0005274	.0017326	.0026542	.0011308	.001248	.0041296	.0003768	.0010121	.0014538	.0007046	.0025543	.00386	.0016899	.0010286	.0015948	.0006634	.0013304	.0019818	.000893	.0021684	.0032403	.0014508	.0015299	.0023796	.0009835	.0010988	.001609	.0007503	.00117	.0018888	.0007246	.0016912	.0025373	.0011271	.0017964	.0037279	.0008652	.0033104	.0058616	.0018685	.0021225	.0034605	.0013015	.0011062	.0018627	.0006569	.0150006	.0324076	.0069101	.0053373	.0111942	.0025409	.0014032	.0030561	.000644	.0020412	.0033213	.0012541	.0012259	.0020905	.0007188	.0006367	.0026663	.0001519	.0012255	.0022758	.0006598	.0019315	.0030206	.0012348	.001964	.0032829	.0011746	.0025264	.0052871	.0012063	.0010614	.0021636	.0005206	.0014664	.0031231	.0006882	.0021628	.0041478	.0011272	.0009038	.0013385	.0006102	.0009945	.0016122	.0006134	.0008538	.0020635	.0003532	.0016822	.0025532	.0011081	.0018151	.0028102	.0011721	.0010328	.002351	.0004535	.0010997	.0016128	.0021058	.0029891
